Focal_region,In_or_out,movement,total
"King County, Washington","Madison County, Idaho",MOVEDOUT,92
"King County, Washington","Nez Perce County, Idaho",MOVEDIN,18
"King County, Washington","Nez Perce County, Idaho",MOVEDOUT,3
"King County, Washington","Owyhee County, Idaho",MOVEDIN,0
"King County, Washington","Owyhee County, Idaho",MOVEDOUT,109
"King County, Washington","Shoshone County, Idaho",MOVEDIN,51
"King County, Washington","Shoshone County, Idaho",MOVEDOUT,0
"King County, Washington","Valley County, Idaho",MOVEDIN,24
"King County, Washington","Valley County, Idaho",MOVEDOUT,6
"King County, Washington","Adams County, Illinois",MOVEDIN,0
"King County, Washington","Adams County, Illinois",MOVEDOUT,13
"King County, Washington","Champaign County, Illinois",MOVEDIN,177
"King County, Washington","Champaign County, Illinois",MOVEDOUT,75
"King County, Washington","Cook County, Illinois",MOVEDIN,2360
"King County, Washington","Cook County, Illinois",MOVEDOUT,968
"King County, Washington","Crawford County, Illinois",MOVEDIN,0
"King County, Washington","Crawford County, Illinois",MOVEDOUT,8
"King County, Washington","DuPage County, Illinois",MOVEDIN,191
"King County, Washington","DuPage County, Illinois",MOVEDOUT,83
"King County, Washington","Jackson County, Illinois",MOVEDIN,53
"King County, Washington","Jackson County, Illinois",MOVEDOUT,0
"King County, Washington","Jersey County, Illinois",MOVEDIN,0
"King County, Washington","Jersey County, Illinois",MOVEDOUT,17
"King County, Washington","Kane County, Illinois",MOVEDIN,270
"King County, Washington","Kane County, Illinois",MOVEDOUT,57
"King County, Washington","Kankakee County, Illinois",MOVEDIN,0
"King County, Washington","Kankakee County, Illinois",MOVEDOUT,4
"King County, Washington","Kendall County, Illinois",MOVEDIN,0
"King County, Washington","Kendall County, Illinois",MOVEDOUT,2
"King County, Washington","Knox County, Illinois",MOVEDIN,0
"King County, Washington","Knox County, Illinois",MOVEDOUT,7
"King County, Washington","Lake County, Illinois",MOVEDIN,103
"King County, Washington","Lake County, Illinois",MOVEDOUT,161
"King County, Washington","LaSalle County, Illinois",MOVEDIN,0
